"id","points","naziv","adresa"
1,"0101000020E610000059DE550F98C14540732F302B14753040","INA","VINKOVAČKA ULICA 15 SPLIT"
2,"0101000020E6100000A3EA573A1FC4454080EF366F9C7C3040","INA","SPLITSKA ULICA 5 SOLIN"
3,"0101000020E610000089981249F4C245406A183E22A67C3040","INA","ULICA ZBORA NARODNE GARDE 8 SPLIT"
4,"0101000020E6100000535C55F65DC14540A245B6F3FD7C3040","INA","KRALJA STJEPANA DRŽISLAVA 5A SPLIT"
5,"0101000020E6100000ADFA5C6DC5C24540CE531D7233743040","INA","HERCEGOVAČKA 21 SPLIT"
6,"0101000020E6100000425BCEA5B8C24540861BF0F961743040","INA","HERCEGOVAČKA 10 SPLIT"
7,"0101000020E61000002D95B7239CC24540B13385CE6B743040","INA","DOMOVINSKOG RATA 71 SPLIT"
8,"0101000020E61000001F11532289C24540EA95B20C71743040","INA","DOMOVINSKOG RATA 80 SPLIT"
9,"0101000020E6100000F870C971A7C045404ED1915CFE733040","INA","POJIŠANSKA 27 SPLIT"
10,"0101000020E61000007FC16ED8B6C045404AD235936F6E3040","INA","OBALA KNEZA BRANIMIRA 7 SPLIT"
11,"0101000020E6100000191C25AFCEC1454093E34EE9606D3040","INA","MATOŠEVA 48A SPLIT"
12,"0101000020E610000069A9BC1DE1B84540738577B988AF3040","INA","VUKOVARSKA 5 OMIŠ"
13,"0101000020E61000009D465A2A6FB745406AA4A5F276E43040","INA","HRVATSKIH BRANITELJA 29A ZADVARJE"
14,"0101000020E6100000B2BAD573D2CF4540102384471BB73040","INA","SVETOG MIHOVILA 88 TRILJ"
15,"0101000020E6100000EEEBC03923DA454023DBF97E6AA43040","INA","VUKOVARSKA 2 SINJ"
16,"0101000020E61000006C21C84109CB4540CC7A319413753040","INA","ISPOD OSOJA 35 BLACA"
17,"0101000020E6100000DE3CD52137CB45403DD52137C3753040","INA","ISPOD OSOJA 30 BLACA"
18,"0101000020E6100000DDCD531D72C74540A5F78DAF3D5B3040","INA","IVANA PAVLA II.183 KAŠTEL LUKŠIĆ"
19,"0101000020E6100000F37684D382C74540B3412619395B3040","INA","IVANA PAVLA II. 232 KAŠTEL LUKŠIĆ"
20,"0101000020E61000007BDAE1AFC9C24540CF66D5E76A433040","INA","KNEZA TRPIMIRA 40 TROGIR"
21,"0101000020E6100000367689EAADC14540744694F6063F3040","INA","PUT ČUMBRIJANA 26 TROGIR"
22,"0101000020E6100000210725CCB4C545404D840D4FAF743040","PETROL","IVANA PAVLA II.1 KAŠTEL SUĆURAC"
23,"0101000020E610000014419C8713C64540B131AF230E693040","PETROL","DR. FRANJE TUĐMANA 346A KAŠTEL SUĆURAC"
24,"0101000020E6100000AC5626FC52C34540226FB9FAB1793040","PETROL","SOLINSKA 35 SPLIT"
25,"0101000020E61000005BCEA5B8AACA45406C787AA52C8F3040","PETROL","PUT BANA 15 DUGOPOLJE"
26,"0101000020E6100000C5FF1D51A1CA4540F7CB272B868F3040","PETROL","ULICA BLEIBURŠKIH ŽRTAVA 6 DUGOPOLJE"
27,"0101000020E6100000A9BC1DE1B4C64540E9B7AF03E7503040","PETROL","IVANA PAVLA II. 366 KAŠTEL ŠTAFILIĆ"
28,"0101000020E61000004913EF004FC64540B41CE8A1B64D3040","PETROL","IVANA PAVLA II. 321 KAŠTEL ŠTAFILIĆ"
29,"0101000020E6100000A8FFACF9F1C545406E1805C1E34B3040","PETROL","IVANA PAVLA II. 343 KAŠTEL ŠTAFILIĆ"
30,"0101000020E61000003B014D840DBF4540541F48DE39C83040","PETROL","TRNBUSI 73F BLATO NA CETINI"
31,"0101000020E6100000BAF8DB9E20BF45408B170B43E4C83040","PETROL","TRNBUSI 73E BLATO NA CETINI"
32,"0101000020E6100000276728EE78C345401895D40968E63040","PETROL","DR. FRANJE TUĐMANA CISTA VELIKA"
33,"0101000020E6100000DD96C80567C64540CF6A813D264E3040","SHELL","IVANA PAVLA II. 386 KAŠTEL ŠTAFILIĆ"
34,"0101000020E61000003C855CA967CB45400E10CCD1E3933040","SHELL","MATICE HRVATSKE 10 DUGOPOLJE"
35,"0101000020E61000009D6340F67AC345401FBAA0BE65E63040","CRODUX","CESTA DR. FRANJE TUĐMANA 57 CISTA VELIKA"
36,"0101000020E61000003BFC3559A3CA45404968CBB9148F3040","CRODUX","ULICA PUT BANA 15 DUGOPOLJE"
37,"0101000020E61000008FA50F5D50C345400B7BDAE1AF793040","CRODUX","SOLINSKA 35 SPLIT"
38,"0101000020E6100000210725CCB4C545404D840D4FAF743040","CRODUX","IVANA PAVLA II. BR. 1 KAŠTEL SUĆURAC"
39,"0101000020E61000001D95F66118C645408881AE7D01693040","CRODUX","ULICA FRANJE TUĐMANA 346A KAŠTEL SUĆURAC"
40,"0101000020E6100000A8FFACF9F1C545409192C3CCE34B3040","CRODUX","ULICA IVANA PAVLA II. 343 KAŠTEL ŠTAFILIĆ"
41,"0101000020E6100000C0249529E6C04540EAEA8EC536813040","LUKOIL","KRALJA DRŽISLAVA 49 SPLIT"
42,"0101000020E61000004BE7C3B304C14540BB2A508BC17F3040","LUKOIL","KRALJA DRŽISLAVA BB SPLIT"
43,"0101000020E610000069FE98D6A6C345400BB5A679C7813040","LUKOIL","DRAČEVAC BB SPLIT"
44,"0101000020E6100000D235936FB6C345405DFE43FAED7B3040","LUKOIL","SOLINSKA 88 SPLIT"
45,"0101000020E61000002CD505BCCCC2454027BEDA519C6F3040","LUKOIL","PUT SUPAVLA 10 SPLIT"
46,"0101000020E6100000037AE1CE85C54540F4328AE596763040","LUKOIL","BUNJE 58 SOLIN"
47,"0101000020E6100000C39D0B23BDD0454027309DD66D983040","LUKOIL","PRISOJE SV.JAKOV 152 DICMO"
48,"0101000020E6100000F65D11FC6FD945409CC3B5DAC3A63040","LUKOIL","MILJENKA BULJANA BB SINJ"
49,"0101000020E61000008F899466F3C2454019C91EA1667C3040","TIFON","ULICA ZBORA NARODNE GARDE 5 SPLIT"
50,"0101000020E6100000F450DB8651D6454009DE904605A63040","TIFON","BRNAZE 471C BRNAZE"
51,"0101000020E61000009E04AA172DE846403240449812C02F40","INA","ALEJA GRADA BOLONJE 68"
52,"0101000020E61000001D8BBBBBFAE74640523A3EA62AD12F40","INA","ILICA 419"
53,"0101000020E61000002C58CDF444E8464068F47F1B1DDD2F40","INA","ILICA 278"
54,"0101000020E61000009AC0F691B0EA4640730225F6EAF42F40","INA","KSAVERSKA CESTA 2F"
55,"0101000020E6100000DBE91F3547E8464013674F46B8F62F40","INA","TRG JOSIPA LANGA 13"
56,"0101000020E6100000A32B9604E3E84640087CAC9761033040","INA","BUKOVAČKA CESTA 2"
57,"0101000020E610000095D0063543E94640B8C8FC3EC4073040","INA","MAKSIMIRSKA CESTA 150"
58,"0101000020E61000006EDAA2925BE94640F452B131AF073040","INA","MAKSIMIRSKA CESTA 131"
59,"0101000020E61000008CEFD9B43EEA46405219DB786B0E3040","INA","DANKOVEČKA ULICA 2"
60,"0101000020E610000027AB5BAA03EA464073B76FDE4D193040","INA","ZAGREBAČKA CESTA 38"
61,"0101000020E6100000AAF56707E8E946408749792C041B3040","INA","ZAGREBAČKA CESTA 19"
62,"0101000020E6100000AC87B34BA9E94640F2CF53B78F243040","INA","SELSKA CESTA 16"
63,"0101000020E6100000940898F616E74640178117E8A0153040","INA","SLAVONSKA AVENIJA 25"
64,"0101000020E61000002446AE1F8BE64640DE5CCF331D0F3040","INA","SLAVONSKA AVENIJA 54"
